source,policy,model,people,deaths,estimand,estimate,ci_low,ci_high
mimic_iv,any_sensor,age_sex_severity,3782,483,risk_0.00,0.13619894992778267,0.11770469993264669,0.15675206568244007
mimic_iv,any_sensor,age_sex_severity,3782,483,risk_0.10,0.13131279530311468,0.11660601324815284,0.14666907908870308
mimic_iv,any_sensor,age_sex_severity,3782,483,risk_0.25,0.12491160968489841,0.10628169860026744,0.1441213029467327
mimic_iv,any_sensor,age_sex_severity,3782,483,risk_0.50,0.1188956647257036,0.1026027932646104,0.13589093464597252
mimic_iv,any_sensor,age_sex_severity,3782,483,average_marginal_risk_difference,-0.001547741338638758,-0.00569082437204295,0.0022106697049001263
mimic_iv,arterial_only,age_sex,3782,483,risk_0.00,0.109786921128386,0.0960839257194222,0.12442702272078787
mimic_iv,arterial_only,age_sex,3782,483,risk_0.10,0.12654060454268526,0.11213431208519903,0.14189088940933448
mimic_iv,arterial_only,age_sex,3782,483,risk_0.25,0.14434350705580493,0.1219524092493158,0.16894654337725254
mimic_iv,arterial_only,age_sex,3782,483,risk_0.50,0.14387517124388516,0.1175243154224059,0.17213225514722122
mimic_iv,arterial_only,age_sex,3782,483,average_marginal_risk_difference,0.011019211092983245,0.003608160200164469,0.01831045839280655
mimic_iv,arterial_only,age_sex_severity,3782,483,risk_0.00,0.1310533195039362,0.11665238239380243,0.14659880905871858
mimic_iv,arterial_only,age_sex_severity,3782,483,risk_0.10,0.1294699714593064,0.11602187437630852,0.14427176942909817
mimic_iv,arterial_only,age_sex_severity,3782,483,risk_0.25,0.12567899871866442,0.10667532145070953,0.14590153316217444
mimic_iv,arterial_only,age_sex_severity,3782,483,risk_0.50,0.11819231613585057,0.0973728296497473,0.13915031446658147
mimic_iv,arterial_only,age_sex_severity,3782,483,average_marginal_risk_difference,-0.0013135650830989746,-0.008221441905335275,0.00484633243891466
mimic_iv,concordant_only,age_sex,3404,433,risk_0.00,0.1134903499612776,0.10002328928730651,0.1268928106358244
mimic_iv,concordant_only,age_sex,3404,433,risk_0.10,0.12630971434959767,0.10813284432145533,0.1447538909052301
mimic_iv,concordant_only,age_sex,3404,433,risk_0.25,0.1405608764696909,0.10797204417011888,0.17642295271892208
